FiscalYear,Chain,Category,Territory,Segment,Buyer,Value Column Name,Value
"2014","Fashions Direct","010-Womens","OH","4027","Buchanan, Alma","TotalSales","49598.98999999999"
"2014","Fashions Direct","010-Womens","OH","4027","Buchanan, Alma","TotalSalesLY","49280.53"
"2014","Fashions Direct","010-Womens","OH","4027","Buchanan, Alma","TotalUnits","9995"
"2014","Fashions Direct","010-Womens","OH","4027","Buchanan, Alma","Variance","318.4599999999991"
"2014","Fashions Direct","010-Womens","OH","4027","Buchanan, Alma","Variance %","0.006462186993524623"
"2014","Fashions Direct","010-Womens","OH","4027","Ray, Violet","TotalSales","13696.169999999996"
"2014","Fashions Direct","010-Womens","OH","4027","Ray, Violet","TotalSalesLY","13695.169999999996"
"2014","Fashions Direct","010-Womens","OH","4027","Ray, Violet","TotalUnits","2219"
"2014","Fashions Direct","010-Womens","OH","4027","Ray, Violet","Variance","1"
"2014","Fashions Direct","010-Womens","OH","4027","Ray, Violet","Variance %","0.00007301844372870143"
"2014","Fashions Direct","010-Womens","OH","4027","Carr, Slade","TotalSales","7740.289999999998"
"2014","Fashions Direct","010-Womens","OH","4027","Carr, Slade","TotalSalesLY","7629.049999999998"
"2014","Fashions Direct","010-Womens","OH","4027","Carr, Slade","TotalUnits","1775"
"2014","Fashions Direct","010-Womens","OH","4027","Carr, Slade","Variance","111.23999999999978"
"2014","Fashions Direct","010-Womens","OH","4027","Carr, Slade","Variance %","0.014581107739495742"
"2014","Fashions Direct","010-Womens","OH","4027","Mendez, Jerry","TotalSales","922.1000000000001"
"2014","Fashions Direct","010-Womens","OH","4027","Mendez, Jerry","TotalSalesLY","922.1000000000001"
"2014","Fashions Direct","010-Womens","OH","4027","Mendez, Jerry","TotalUnits","350"
"2014","Fashions Direct","010-Womens","OH","4027","Mendez, Jerry","Variance","0"
"2014","Fashions Direct","010-Womens","OH","4027","Mendez, Jerry","Variance %","0"
"2014","Fashions Direct","010-Womens","OH","4027","Ward, Kermit","TotalSales","575.22"
"2014","Fashions Direct","010-Womens","OH","4027","Ward, Kermit","TotalSalesLY","575.22"
"2014","Fashions Direct","010-Womens","OH","4027","Ward, Kermit","TotalUnits","78"
"2014","Fashions Direct","010-Womens","OH","4027","Ward, Kermit","Variance","0"
"2014","Fashions Direct","010-Womens","OH","4027","Ward, Kermit","Variance %","0"
"2014","Fashions Direct","010-Womens","OH","4027","Hubbard, Quintessa","TotalSales","240.76999999999998"
"2014","Fashions Direct","010-Womens","OH","4027","Hubbard, Quintessa","TotalSalesLY","240.76999999999998"
"2014","Fashions Direct","010-Womens","OH","4027","Hubbard, Quintessa","TotalUnits","24"
"2014","Fashions Direct","010-Womens","OH","4027","Hubbard, Quintessa","Variance","0"
"2014","Fashions Direct","010-Womens","OH","4027","Hubbard, Quintessa","Variance %","0"
"2014","Fashions Direct","010-Womens","OH","4027","Clemons, Uma","TotalSales","177.79000000000002"
"2014","Fashions Direct","010-Womens","OH","4027","Clemons, Uma","TotalSalesLY","177.79000000000002"
"2014","Fashions Direct","010-Womens","OH","4027","Clemons, Uma","TotalUnits","49"
"2014","Fashions Direct","010-Womens","OH","4027","Clemons, Uma","Variance","0"
"2014","Fashions Direct","010-Womens","OH","4027","Clemons, Uma","Variance %","0"
"2014","Fashions Direct","010-Womens","OH","4027","Watson, Skyler","TotalSales","135.93"
"2014","Fashions Direct","010-Womens","OH","4027","Watson, Skyler","TotalSalesLY","135.93"
"2014","Fashions Direct","010-Womens","OH","4027","Watson, Skyler","TotalUnits","23"
"2014","Fashions Direct","010-Womens","OH","4027","Watson, Skyler","Variance","0"
"2014","Fashions Direct","010-Womens","OH","4027","Watson, Skyler","Variance %","0"
"2014","Fashions Direct","010-Womens","OH","4075","Petty, Perry","TotalSales","28916.09000000002"
"2014","Fashions Direct","010-Womens","OH","4075","Petty, Perry","TotalSalesLY",
"2014","Fashions Direct","010-Womens","OH","4075","Petty, Perry","TotalUnits","4259"
"2014","Fashions Direct","010-Womens","OH","4075","Petty, Perry","Variance","28916.09"
"2014","Fashions Direct","010-Womens","OH","4075","Petty, Perry","Variance %","NaN"
"2014","Fashions Direct","010-Womens","OH","4075","Buchanan, Alma","TotalSales","15015.430000000002"
"2014","Fashions Direct","010-Womens","OH","4075","Buchanan, Alma","TotalSalesLY","1532.2699999999998"
"2014","Fashions Direct","010-Womens","OH","4075","Buchanan, Alma","TotalUnits","1862"
"2014","Fashions Direct","010-Womens","OH","4075","Buchanan, Alma","Variance","13483.16"
"2014","Fashions Direct","010-Womens","OH","4075","Buchanan, Alma","Variance %","8.79946745677981"
"2014","Fashions Direct","010-Womens","OH","4075","Hubbard, Quintessa","TotalSales","7171.199999999998"
"2014","Fashions Direct","010-Womens","OH","4075","Hubbard, Quintessa","TotalSalesLY",
"2014","Fashions Direct","010-Womens","OH","4075","Hubbard, Quintessa","TotalUnits","2698"
"2014","Fashions Direct","010-Womens","OH","4075","Hubbard, Quintessa","Variance","7171.2"
"2014","Fashions Direct","010-Womens","OH","4075","Hubbard, Quintessa","Variance %","NaN"
"2014","Fashions Direct","010-Womens","OH","4075","Carr, Slade","TotalSales","5280.539999999999"
"2014","Fashions Direct","010-Womens","OH","4075","Carr, Slade","TotalSalesLY",
"2014","Fashions Direct","010-Womens","OH","4075","Carr, Slade","TotalUnits","700"
"2014","Fashions Direct","010-Womens","OH","4075","Carr, Slade","Variance","5280.54"
"2014","Fashions Direct","010-Womens","OH","4075","Carr, Slade","Variance %","NaN"
"2014","Fashions Direct","010-Womens","OH","4075","Wright, Howard","TotalSales","4847.919999999999"
"2014","Fashions Direct","010-Womens","OH","4075","Wright, Howard","TotalSalesLY","233.82"
"2014","Fashions Direct","010-Womens","OH","4075","Wright, Howard","TotalUnits","783"
"2014","Fashions Direct","010-Womens","OH","4075","Wright, Howard","Variance","4614.1"
"2014","Fashions Direct","010-Womens","OH","4075","Wright, Howard","Variance %","19.733555726627323"
"2014","Fashions Direct","010-Womens","OH","4075","Barrett, Galvin","TotalSales","2971.6399999999994"
"2014","Fashions Direct","010-Womens","OH","4075","Barrett, Galvin","TotalSalesLY",
"2014","Fashions Direct","010-Womens","OH","4075","Barrett, Galvin","TotalUnits","471"
"2014","Fashions Direct","010-Womens","OH","4075","Barrett, Galvin","Variance","2971.64"
"2014","Fashions Direct","010-Womens","OH","4075","Barrett, Galvin","Variance %","NaN"
"2014","Fashions Direct","010-Womens","OH","4075","Mccray, Nayda","TotalSales","1854.23"
"2014","Fashions Direct","010-Womens","OH","4075","Mccray, Nayda","TotalSalesLY",
"2014","Fashions Direct","010-Womens","OH","4075","Mccray, Nayda","TotalUnits","699"
"2014","Fashions Direct","010-Womens","OH","4075","Mccray, Nayda","Variance","1854.23"
"2014","Fashions Direct","010-Womens","OH","4075","Mccray, Nayda","Variance %","NaN"
"2014","Fashions Direct","010-Womens","OH","4075","Long, Amy","TotalSales","659.33"
"2014","Fashions Direct","010-Womens","OH","4075","Long, Amy","TotalSalesLY",
"2014","Fashions Direct","010-Womens","OH","4075","Long, Amy","TotalUnits","67"
"2014","Fashions Direct","010-Womens","OH","4075","Long, Amy","Variance","659.33"
"2014","Fashions Direct","010-Womens","OH","4075","Long, Amy","Variance %","NaN"
"2014","Fashions Direct","010-Womens","OH","4075","Rodriguez, Calista","TotalSales","489.62"
"2014","Fashions Direct","010-Womens","OH","4075","Rodriguez, Calista","TotalSalesLY",
"2014","Fashions Direct","010-Womens","OH","4075","Rodriguez, Calista","TotalUnits","166"
"2014","Fashions Direct","010-Womens","OH","4075","Rodriguez, Calista","Variance","489.62"
"2014","Fashions Direct","010-Womens","OH","4075","Rodriguez, Calista","Variance %","NaN"
"2014","Fashions Direct","010-Womens","OH","4075","Mendez, Jerry","TotalSales","362.94"
"2014","Fashions Direct","010-Womens","OH","4075","Mendez, Jerry","TotalSalesLY",
"2014","Fashions Direct","010-Womens","OH","4075","Mendez, Jerry","TotalUnits","166"
"2014","Fashions Direct","010-Womens","OH","4075","Mendez, Jerry","Variance","362.94"
"2014","Fashions Direct","010-Womens","OH","4075","Mendez, Jerry","Variance %","NaN"
"2014","Fashions Direct","010-Womens","OH","4075","HOUSE, HOUSE","TotalSales","219.78"
"2014","Fashions Direct","010-Womens","OH","4075","HOUSE, HOUSE","TotalSalesLY",
"2014","Fashions Direct","010-Womens","OH","4075","HOUSE, HOUSE","TotalUnits","22"
"2014","Fashions Direct","010-Womens","OH","4075","HOUSE, HOUSE","Variance","219.78"
"2014","Fashions Direct","010-Womens","OH","4075","HOUSE, HOUSE","Variance %","NaN"
"2014","Fashions Direct","010-Womens","OH","4075","Monroe, Cody","TotalSales","130.51999999999998"
"2014","Fashions Direct","010-Womens","OH","4075","Monroe, Cody","TotalSalesLY",
"2014","Fashions Direct","010-Womens","OH","4075","Monroe, Cody","TotalUnits","83"
"2014","Fashions Direct","010-Womens","OH","4075","Monroe, Cody","Variance","130.52"
"2014","Fashions Direct","010-Womens","OH","4075","Monroe, Cody","Variance %","NaN"
"2014","Fashions Direct","010-Womens","OH","4075","Thomas, Shellie","TotalSales","71.91"
"2014","Fashions Direct","010-Womens","OH","4075","Thomas, Shellie","TotalSalesLY",
"2014","Fashions Direct","010-Womens","OH","4075","Thomas, Shellie","TotalUnits","9"
"2014","Fashions Direct","010-Womens","OH","4075","Thomas, Shellie","Variance","71.91"
"2014","Fashions Direct","010-Womens","OH","4075","Thomas, Shellie","Variance %","NaN"
"2014","Fashions Direct","010-Womens","OH","4075","Harper, Ferdinand","TotalSales","59.9"
"2014","Fashions Direct","010-Womens","OH","4075","Harper, Ferdinand","TotalSalesLY",
"2014","Fashions Direct","010-Womens","OH","4075","Harper, Ferdinand","TotalUnits","10"
"2014","Fashions Direct","010-Womens","OH","4075","Harper, Ferdinand","Variance","59.9"
"2014","Fashions Direct","010-Womens","OH","4075","Harper, Ferdinand","Variance %","NaN"
"2014","Fashions Direct","010-Womens","OH","4075","Clemons, Uma","TotalSales","33.83"
"2014","Fashions Direct","010-Womens","OH","4075","Clemons, Uma","TotalSalesLY",
"2014","Fashions Direct","010-Womens","OH","4075","Clemons, Uma","TotalUnits","17"
"2014","Fashions Direct","010-Womens","OH","4075","Clemons, Uma","Variance","33.83"
"2014","Fashions Direct","010-Womens","OH","4075","Clemons, Uma","Variance %","NaN"
"2014","Fashions Direct","010-Womens","OH","4075","Pierce, Amery","TotalSales","-9.99"
"2014","Fashions Direct","010-Womens","OH","4075","Pierce, Amery","TotalSalesLY",
"2014","Fashions Direct","010-Womens","OH","4075","Pierce, Amery","TotalUnits","-1"
"2014","Fashions Direct","010-Womens","OH","4075","Pierce, Amery","Variance","-9.99"
"2014","Fashions Direct","010-Womens","OH","4075","Pierce, Amery","Variance %","NaN"
"2014","Fashions Direct","010-Womens","OH","4020","Buchanan, Alma","TotalSales","48677.74999999997"
"2014","Fashions Direct","010-Womens","OH","4020","Buchanan, Alma","TotalSalesLY","48599.23999999997"
"2014","Fashions Direct","010-Womens","OH","4020","Buchanan, Alma","TotalUnits","4264"
"2014","Fashions Direct","010-Womens","OH","4020","Buchanan, Alma","Variance","78.51000000000204"
"2014","Fashions Direct","010-Womens","OH","4020","Buchanan, Alma","Variance %","0.0016154573610616134"
"2014","Fashions Direct","010-Womens","OH","4020","Ray, Violet","TotalSales","10001.179999999995"
"2014","Fashions Direct","010-Womens","OH","4020","Ray, Violet","TotalSalesLY","10001.179999999995"
"2014","Fashions Direct","010-Womens","OH","4020","Ray, Violet","TotalUnits","820"
"2014","Fashions Direct","010-Womens","OH","4020","Ray, Violet","Variance","0"
"2014","Fashions Direct","010-Womens","OH","4020","Ray, Violet","Variance %","0"
"2014","Fashions Direct","010-Womens","OH","4020","Carr, Slade","TotalSales","4263.459999999999"
"2014","Fashions Direct","010-Womens","OH","4020","Carr, Slade","TotalSalesLY","3912.8099999999995"
"2014","Fashions Direct","010-Womens","OH","4020","Carr, Slade","TotalUnits","456"
"2014","Fashions Direct","010-Womens","OH","4020","Carr, Slade","Variance","350.6500000000001"
"2014","Fashions Direct","010-Womens","OH","4020","Carr, Slade","Variance %","0.08961590263774627"
"2014","Fashions Direct","010-Womens","OH","4020","Hubbard, Quintessa","TotalSales","2186.85"
"2014","Fashions Direct","010-Womens","OH","4020","Hubbard, Quintessa","TotalSalesLY","2183.85"
"2014","Fashions Direct","010-Womens","OH","4020","Hubbard, Quintessa","TotalUnits","122"
"2014","Fashions Direct","010-Womens","OH","4020","Hubbard, Quintessa","Variance","3"
"2014","Fashions Direct","010-Womens","OH","4020","Hubbard, Quintessa","Variance %","0.0013737207225771"
"2014","Fashions Direct","010-Womens","OH","4020","Mccray, Nayda","TotalSales","287.85"
"2014","Fashions Direct","010-Womens","OH","4020","Mccray, Nayda","TotalSalesLY","287.85"
"2014","Fashions Direct","010-Womens","OH","4020","Mccray, Nayda","TotalUnits","36"
"2014","Fashions Direct","010-Womens","OH","4020","Mccray, Nayda","Variance","0"
"2014","Fashions Direct","010-Womens","OH","4020","Mccray, Nayda","Variance %","0"
"2014","Fashions Direct","010-Womens","OH","4020","Mendez, Jerry","TotalSales","129.87"
"2014","Fashions Direct","010-Womens","OH","4020","Mendez, Jerry","TotalSalesLY","129.87"
"2014","Fashions Direct","010-Womens","OH","4020","Mendez, Jerry","TotalUnits","13"
"2014","Fashions Direct","010-Womens","OH","4020","Mendez, Jerry","Variance","0"
"2014","Fashions Direct","010-Womens","OH","4020","Mendez, Jerry","Variance %","0"
"2014","Fashions Direct","010-Womens","OH","4020","Clemons, Uma","TotalSales","99.97"
"2014","Fashions Direct","010-Womens","OH","4020","Clemons, Uma","TotalSalesLY","99.97"
"2014","Fashions Direct","010-Womens","OH","4020","Clemons, Uma","TotalUnits","28"
"2014","Fashions Direct","010-Womens","OH","4020","Clemons, Uma","Variance","0"
"2014","Fashions Direct","010-Womens","OH","4020","Clemons, Uma","Variance %","0"
"2014","Fashions Direct","010-Womens","OH","4020","Lynn, Farrah","TotalSales","28.990000000000002"
"2014","Fashions Direct","010-Womens","OH","4020","Lynn, Farrah","TotalSalesLY","28.990000000000002"
"2014","Fashions Direct","010-Womens","OH","4020","Lynn, Farrah","TotalUnits","8"
"2014","Fashions Direct","010-Womens","OH","4020","Lynn, Farrah","Variance","0"
"2014","Fashions Direct","010-Womens","OH","4020","Lynn, Farrah","Variance %","0"
"2014","Fashions Direct","010-Womens","OH","4020","Ward, Kermit","TotalSales","12.99"
"2014","Fashions Direct","010-Womens","OH","4020","Ward, Kermit","TotalSalesLY","12.99"
"2014","Fashions Direct","010-Womens","OH","4020","Ward, Kermit","TotalUnits","2"
"2014","Fashions Direct","010-Womens","OH","4020","Ward, Kermit","Variance","0"
"2014","Fashions Direct","010-Womens","OH","4020","Ward, Kermit","Variance %","0"
"2014","Fashions Direct","010-Womens","OH","4227","Buchanan, Alma","TotalSales","45006.77999999999"
"2014","Fashions Direct","010-Womens","OH","4227","Buchanan, Alma","TotalSalesLY","44943.97999999999"
"2014","Fashions Direct","010-Womens","OH","4227","Buchanan, Alma","TotalUnits","6974"
"2014","Fashions Direct","010-Womens","OH","4227","Buchanan, Alma","Variance","62.799999999995634"
"2014","Fashions Direct","010-Womens","OH","4227","Buchanan, Alma","Variance %","0.001397295032616159"
"2014","Fashions Direct","010-Womens","OH","4227","Carr, Slade","TotalSales","5879.12"
"2014","Fashions Direct","010-Womens","OH","4227","Carr, Slade","TotalSalesLY","5879.12"
"2014","Fashions Direct","010-Womens","OH","4227","Carr, Slade","TotalUnits","1034"
"2014","Fashions Direct","010-Womens","OH","4227","Carr, Slade","Variance","0"
"2014","Fashions Direct","010-Womens","OH","4227","Carr, Slade","Variance %","0"
"2014","Fashions Direct","010-Womens","OH","4227","Ward, Kermit","TotalSales","763"
"2014","Fashions Direct","010-Womens","OH","4227","Ward, Kermit","TotalSalesLY","763"
"2014","Fashions Direct","010-Womens","OH","4227","Ward, Kermit","TotalUnits","111"
"2014","Fashions Direct","010-Womens","OH","4227","Ward, Kermit","Variance","0"
"2014","Fashions Direct","010-Womens","OH","4227","Ward, Kermit","Variance %","0"
"2014","Fashions Direct","010-Womens","OH","4227","Clemons, Uma","TotalSales","228.62"
"2014","Fashions Direct","010-Womens","OH","4227","Clemons, Uma","TotalSalesLY","228.62"
"2014","Fashions Direct","010-Womens","OH","4227","Clemons, Uma","TotalUnits","39"
"2014","Fashions Direct","010-Womens","OH","4227","Clemons, Uma","Variance","0"
"2014","Fashions Direct","010-Womens","OH","4227","Clemons, Uma","Variance %","0"
"2014","Fashions Direct","010-Womens","OH","4227","Mendez, Jerry","TotalSales","126.60999999999999"
"2014","Fashions Direct","010-Womens","OH","4227","Mendez, Jerry","TotalSalesLY","126.60999999999999"
"2014","Fashions Direct","010-Womens","OH","4227","Mendez, Jerry","TotalUnits","49"
"2014","Fashions Direct","010-Womens","OH","4227","Mendez, Jerry","Variance","0"
"2014","Fashions Direct","010-Womens","OH","4227","Mendez, Jerry","Variance %","0"
"2014","Fashions Direct","010-Womens","OH","4227","Ray, Violet","TotalSales","56.95"
"2014","Fashions Direct","010-Womens","OH","4227","Ray, Violet","TotalSalesLY","56.95"
"2014","Fashions Direct","010-Womens","OH","4227","Ray, Violet","TotalUnits","6"
"2014","Fashions Direct","010-Womens","OH","4227","Ray, Violet","Variance","0"
"2014","Fashions Direct","010-Womens","OH","4227","Ray, Violet","Variance %","0"
"2014","Fashions Direct","010-Womens","OH","4227","Hubbard, Quintessa","TotalSales","1"
"2014","Fashions Direct","010-Womens","OH","4227","Hubbard, Quintessa","TotalSalesLY","1"
"2014","Fashions Direct","010-Womens","OH","4227","Hubbard, Quintessa","TotalUnits","1"
"2014","Fashions Direct","010-Womens","OH","4227","Hubbard, Quintessa","Variance","0"
"2014","Fashions Direct","010-Womens","OH","4227","Hubbard, Quintessa","Variance %","0"
"2014","Fashions Direct","010-Womens","OH","4017","Buchanan, Alma","TotalSales","32256.629999999997"
"2014","Fashions Direct","010-Womens","OH","4017","Buchanan, Alma","TotalSalesLY","31885.170000000006"
"2014","Fashions Direct","010-Womens","OH","4017","Buchanan, Alma","TotalUnits","3486"
"2014","Fashions Direct","010-Womens","OH","4017","Buchanan, Alma","Variance","371.46000000000276"
"2014","Fashions Direct","010-Womens","OH","4017","Buchanan, Alma","Variance %","0.0116499300458489"
